posicao;servico;score
366;906;0.555
367;112;0.539
368;884;0.534
369;321;0.456
370;538;0.393
371;809;0.393
372;SV606;0.391
373;558;0.377
374;SV483;0.355
375;363;0.334
376;685;0.332
377;645;0.293
378;810;0.293
379;SV790;0.268
380;757;0.246
381;785;0.23
382;SR355;0.229
383;790;0.052
384;415;0.049
385;110;0.0
